"Lego Part","Lego Set"
"Axle - Black - Plastic - Transportation","LEGO Ideas 21318 Tree House"
"Flag - Silver - Plastic - Decoration","LEGO Classic"
"Axle - Red - Fabric - Transportation","LEGO Friends"
"Brick - White - Fabric - Decoration","LEGO Disney Princess"
"Axle - Gold - Plastic - Barrier","LEGO Ideas"
"Weapon - Black - Fabric - Entry","LEGO Disney Princess"
"Roof Tile - Bronze - Plastic - Character","LEGO Ideas 21319 Central Perk"
"Tile - Tan - Fabric - Landscape","LEGO Star Wars"
"Fence - Red - Plastic - Utility","LEGO Space"
"Beam - Bronze - Plastic - Structural","Friends"
"Tile - Gold - Plastic - Accessory","LEGO Jurassic World"
"Axle - Green - Fabric - Character","Space"
"Roof Tile - Gray - Fabric - Vehicle","LEGO Creator Expert"
"Minifigure - Brown - Plastic - Functional","LEGO Mindstorms"
"Tool - Silver - Fabric - Decoration","LEGO Disney"
"Flag - Gold - Fabric - Functional","LEGO Super Heroes"
"Axle - Red - Plastic - Structural","LEGO Classic"
"Axle - Brown - Plastic - Roofing","Architecture"
"Wheel - Brown - Plastic - Barrier","Ideas"
"Brick - Green - Fabric - Structural","LEGO Overwatch"
"Beam - Green - Plastic - Wall","LEGO Friends: The Television Series"
"Axle - Bronze - Fabric - Mechanical","LEGO DC Super Heroes"
"Fence - Black - Plastic - Transportation","LEGO Minions"
"Technic - Gold - Fabric - Landscape","LEGO Friends: The Television Series"
"Plate - Yellow - Plastic - Accessory","Friends"
"Slope - Brown - Plastic - Transportation","LEGO Ninjago"
"Window - Yellow - Plastic - Barrier","LEGO DC Super Heroes"
"Technic - Transparent - Fabric - Transportation","LEGO Super Mario"
"Fence - Black - Plastic - Utility","LEGO Technic Bugatti Chiron"
"Panel - Tan - Plastic - Combat","Creator"
"Beam - Blue - Fabric - Creature","LEGO Monkie Kid"
"Roof Tile - Red - Fabric - Basic","Disney"
"Panel - Translucent - Fabric - Creature","Dots"
"Technic - Green - Plastic - Accessory","Marvel Super Heroes"
"Flag - Brown - Fabric - Entry","LEGO Super Mario"
"Panel - Orange - Fabric - Structural","LEGO Pirates"
"Technic - Translucent - Fabric - Wall","Education"
"Tile - White - Plastic - Landscape","Pirates"
"Brick - Red - Plastic - Transportation","LEGO Architecture Skyline"
"Beam - Black - Fabric - Roofing","Minecraft"
"Axle - Green - Fabric - Decoration","Classic"
"Door - Transparent - Fabric - Functional","LEGO City"
"Animal - Yellow - Plastic - Vehicle","Ninjago"
"Door - Bronze - Fabric - Character","LEGO Disney"
"Plate - Transparent - Fabric - Decoration","LEGO Creator 3-in-1"
"Beam - Translucent - Fabric - Landscape","LEGO Ideas"
"Brick - Gold - Plastic - Decoration","LEGO Space"
"Tool - Gold - Plastic - Entry","LEGO Ideas 21319 Central Perk"
"Plate - Blue - Fabric - Decoration","LEGO DC Super Heroes"
"Door - Translucent - Fabric - Wall","LEGO Ideas 21319 Central Perk"
"Vehicle - Orange - Plastic - Landscape","LEGO Super Mario"
"Roof Tile - Blue - Fabric - Basic","LEGO Monkie Kid"
"Fence - Green - Fabric - Transportation","Star Wars"
"Beam - Bronze - Fabric - Combat","LEGO Marvel Super Heroes"
"Door - Silver - Plastic - Structural","City"
"Window - Silver - Fabric - Basic","Creator"
"Tile - White - Plastic - Entry","LEGO Technic Bugatti Chiron"
"Wheel - Brown - Plastic - Wall","DC Super Heroes"
"Brick - Brown - Plastic - Functional","Friends"
"Plant - Orange - Plastic - Decoration","LEGO Trolls World Tour"
"Tile - Bronze - Plastic - Wall","LEGO Ideas 21319 Central Perk"
"Tile - Gray - Fabric - Landscape","LEGO Speed Racer"
"Axle - Tan - Fabric - Mechanical","Pirates"
"Wheel - Transparent - Fabric - Transportation","LEGO Classic"
"Minifigure - Silver - Plastic - Landscape","LEGO Minecraft"
"Vehicle - Transparent - Plastic - Wall","LEGO Star Wars"
"Tile - Yellow - Fabric - Barrier","LEGO Pirates"
"Technic - Translucent - Fabric - Decorative","Architecture"
"Plant - Tan - Fabric - Creature","LEGO Overwatch"
"Minifigure - Black - Fabric - Entry","LEGO Minecraft"
"Tool - Black - Fabric - Character","Ninjago"
"Tile - Red - Fabric - Landscape","City"
"Vehicle - Black - Fabric - Accessory","LEGO Star Wars Millennium Falcon"
"Vehicle - Yellow - Plastic - Building","DC Super Heroes"
"Window - Black - Plastic - Utility","LEGO Pirates"
"Weapon - Translucent - Fabric - Combat","Dots"
"Brick - Green - Plastic - Decoration","LEGO Minions"
"Door - Black - Plastic - Functional","LEGO Monkie Kid"
"Plate - Gold - Plastic - Decorative","LEGO Super Mario"
"Panel - Bronze - Plastic - Transportation","Disney"
"Vehicle - Orange - Plastic - Entry","LEGO Jurassic World"
"Minifigure - Black - Fabric - Structural","Bionicle"
"Plate - Gold - Plastic - Character","LEGO Trolls World Tour"
"Weapon - Silver - Fabric - Barrier","LEGO Super Mario"
"Fence - Green - Plastic - Wall","DC Super Heroes"
"Plant - White - Plastic - Building","LEGO Architecture"
"Axle - Bronze - Fabric - Decorative","LEGO Disney Princess"
"Beam - Gray - Plastic - Wall","LEGO Architecture"
"Brick - Translucent - Fabric - Combat","LEGO Star Wars"
"Minifigure - White - Plastic - Wall","Friends"
"Vehicle - Green - Plastic - Vehicle","LEGO Ideas"
"Fence - Black - Fabric - Decorative","LEGO Hidden Side"
"Slope - Yellow - Plastic - Utility","LEGO Ninjago"
"Roof Tile - Yellow - Fabric - Creature","LEGO Video Games"
"Plant - Transparent - Fabric - Decoration","Architecture"
"Plate - Transparent - Plastic - Roofing","LEGO Ideas"
"Wheel - Yellow - Plastic - Accessory","LEGO Minecraft"
"Panel - Gray - Plastic - Roofing","LEGO Star Wars Millennium Falcon"
"Flag - Orange - Plastic - Basic","Speed Champions"
"Plate - Orange - Fabric - Basic","Marvel Super Heroes"
"Panel - Transparent - Fabric - Entry","LEGO Star Wars"
"Vehicle - Red - Plastic - Roofing","LEGO Architecture Skyline"
"Plant - White - Plastic - Barrier","LEGO Trolls World Tour"
"Door - Orange - Fabric - Landscape","LEGO Technic"
"Technic - Blue - Plastic - Functional","Classic"
"Flag - Silver - Fabric - Utility","LEGO Trolls World Tour"
"Axle - Translucent - Fabric - Mechanical","Marvel Super Heroes"
"Roof Tile - Brown - Plastic - Utility","LEGO Space"
"Tile - Red - Fabric - Decoration","Education"
"Weapon - White - Plastic - Functional","LEGO Marvel Super Heroes"
"Brick - Black - Plastic - Transportation","Pirates"
"Animal - Black - Plastic - Barrier","LEGO Marvel Super Heroes"
"Plate - Translucent - Plastic - Combat","LEGO Pirates"
"Fence - White - Fabric - Accessory","LEGO Technic"
"Flag - Transparent - Fabric - Landscape","LEGO Friends: The Television Series"
"Vehicle - Translucent - Fabric - Creature","LEGO Space"
"Brick - Black - Fabric - Transportation","LEGO Technic Bugatti Chiron"
"Fence - Red - Plastic - Basic","LEGO Monkie Kid"
"Animal - Brown - Plastic - Combat","LEGO Super Mario"
"Tile - Tan - Fabric - Wall","LEGO Ideas"
"Animal - Translucent - Fabric - Functional","LEGO Creator Expert Roller Coaster"
"Wheel - Blue - Fabric - Basic","LEGO Education"
"Flag - Tan - Fabric - Character","LEGO Education"
"Panel - Bronze - Plastic - Decoration","Pirates"
"Brick - Translucent - Plastic - Roofing","LEGO Speed Champions"
"Fence - Red - Fabric - Mechanical","LEGO Pirates"
"Fence - Tan - Fabric - Creature","LEGO Minecraft"
"Weapon - Orange - Plastic - Wall","LEGO Marvel Super Heroes"
"Beam - Bronze - Fabric - Basic","LEGO Minions"
"Vehicle - Gray - Plastic - Creature","LEGO Overwatch"
"Plate - Tan - Fabric - Accessory","LEGO Architecture"
"Axle - Translucent - Plastic - Combat","LEGO Marvel Super Heroes"
"Roof Tile - Silver - Fabric - Decoration","LEGO Speed Racer"
"Beam - Transparent - Plastic - Entry","LEGO Technic Bugatti Chiron"
"Technic - Brown - Plastic - Transportation","LEGO Education"
"Tool - Yellow - Fabric - Character","LEGO Creator 3-in-1"
"Slope - Tan - Plastic - Decoration","LEGO Creator Expert"
"Flag - Blue - Plastic - Decorative","LEGO Minecraft"
"Plant - Blue - Fabric - Decorative","LEGO City"
"Tile - Orange - Plastic - Decoration","Creator"
"Weapon - White - Fabric - Utility","LEGO Technic"
"Tool - Tan - Plastic - Wall","LEGO Disney"
"Tile - Red - Plastic - Creature","LEGO Ninjago"
"Door - Red - Plastic - Landscape","Marvel Super Heroes"
"Roof Tile - Red - Plastic - Structural","Education"
"Panel - Green - Fabric - Entry","Marvel Super Heroes"
"Window - Gray - Fabric - Utility","Creator"
"Beam - Green - Fabric - Wall","Pirates"
"Axle - Orange - Fabric - Combat","LEGO Creator Expert Roller Coaster"
"Plant - Tan - Plastic - Landscape","Bionicle"
"Roof Tile - Silver - Fabric - Functional","LEGO Elves"
"Roof Tile - Gray - Fabric - Creature","LEGO Star Wars Millennium Falcon"
"Fence - Black - Plastic - Landscape","Creator"
"Window - Red - Plastic - Utility","LEGO Space"
"Door - Yellow - Plastic - Mechanical","LEGO Star Wars"
"Panel - Red - Fabric - Wall","Pirates"
"Slope - Brown - Plastic - Wall","Harry Potter"
"Vehicle - Yellow - Fabric - Decorative","Pirates"
"Door - Green - Plastic - Utility","Dots"
"Brick - Translucent - Fabric - Transportation","LEGO Elves"
"Tool - Translucent - Fabric - Vehicle","LEGO Elves"
"Flag - Silver - Plastic - Accessory","LEGO Friends: The Television Series"
"Axle - Gold - Fabric - Utility","LEGO Minecraft"
"Plate - Translucent - Fabric - Vehicle","Dots"
"Panel - Silver - Plastic - Utility","Jurassic World"
"Animal - White - Fabric - Transportation","LEGO Ideas 21319 Central Perk"
"Roof Tile - Silver - Fabric - Structural","LEGO Space"
"Axle - Blue - Plastic - Mechanical","Dots"
"Minifigure - Blue - Plastic - Utility","LEGO Trolls World Tour"
"Tool - Translucent - Plastic - Landscape","LEGO Marvel Super Heroes"
"Animal - Gold - Fabric - Wall","LEGO Elves"
"Minifigure - Green - Fabric - Wall","LEGO Architecture"
"Animal - Orange - Fabric - Barrier","Jurassic World"
"Weapon - Red - Plastic - Decorative","LEGO Ideas"
"Door - Blue - Plastic - Decoration","LEGO Super Mario"
"Window - Brown - Plastic - Vehicle","Harry Potter"
"Fence - Silver - Fabric - Landscape","Space"
"Plate - Gold - Plastic - Character","Space"
"Flag - White - Plastic - Building","LEGO Star Wars Millennium Falcon"
"Window - Brown - Fabric - Landscape","LEGO Minions"
"Plate - Brown - Fabric - Building","Creator"
"Plate - Brown - Fabric - Combat","Education"
"Axle - Brown - Fabric - Decorative","LEGO Speed Racer"
"Tool - White - Fabric - Creature","LEGO Pirates"
"Animal - Blue - Plastic - Entry","City"
"Plant - Yellow - Fabric - Character","LEGO Marvel Super Heroes"
"Technic - Bronze - Fabric - Creature","LEGO Marvel Super Heroes"
"Tool - Red - Fabric - Utility","LEGO Monkie Kid"
"Axle - Bronze - Plastic - Accessory","LEGO Pirates"
"Beam - Red - Plastic - Decorative","LEGO Creator Expert Roller Coaster"
"Window - Gray - Plastic - Functional","LEGO DC Super Heroes"
"Fence - Transparent - Fabric - Roofing","Education"
"Roof Tile - Green - Fabric - Structural","Jurassic World"
"Flag - Tan - Fabric - Character","Bionicle"
"Flag - Silver - Plastic - Decoration","LEGO Friends"
"Brick - Red - Plastic - Building","Dots"
"Wheel - Black - Plastic - Transportation","LEGO Video Games"
"Technic - Bronze - Plastic - Structural","Ninjago"
"Brick - Orange - Fabric - Mechanical","Ninjago"
"Animal - Gold - Plastic - Creature","LEGO Super Heroes"
"Technic - Yellow - Fabric - Decoration","Dots"
"Vehicle - Black - Plastic - Accessory","LEGO Classic"
"Plant - Bronze - Plastic - Decoration","LEGO Video Games"
"Window - Gray - Fabric - Landscape","LEGO Ideas"
"Axle - Orange - Plastic - Mechanical","DC Super Heroes"
"Flag - Blue - Plastic - Decoration","Pirates"
"Axle - Brown - Plastic - Building","LEGO Marvel Super Heroes"
"Technic - Black - Plastic - Decoration","Space"
"Wheel - Bronze - Plastic - Building","LEGO Harry Potter"
"Animal - Tan - Plastic - Accessory","LEGO Hidden Side"
"Wheel - White - Plastic - Decorative","LEGO Ideas 21318 Tree House"
"Flag - Tan - Fabric - Structural","LEGO Disney Princess"
"Vehicle - Silver - Fabric - Combat","LEGO Ideas"
"Animal - Silver - Fabric - Utility","LEGO Trolls World Tour"
"Axle - Green - Fabric - Transportation","LEGO Trolls World Tour"
"Roof Tile - Tan - Plastic - Structural","LEGO Harry Potter"
"Door - Gold - Fabric - Basic","City"
"Tool - Brown - Plastic - Building","Jurassic World"
"Tile - Green - Plastic - Creature","LEGO Jurassic World"
"Plant - Brown - Fabric - Accessory","LEGO Creator Expert Roller Coaster"
"Technic - Orange - Fabric - Building","DC Super Heroes"
"Flag - Transparent - Fabric - Decorative","LEGO Speed Champions"
"Axle - Gold - Fabric - Roofing","LEGO Mindstorms"
"Axle - Green - Fabric - Roofing","LEGO Star Wars Millennium Falcon"
"Tool - Gray - Plastic - Entry","LEGO City"
"Axle - Gray - Plastic - Landscape","Space"
"Minifigure - Gray - Fabric - Building","City"
"Roof Tile - Gold - Plastic - Utility","LEGO Ideas"
"Fence - Yellow - Fabric - Decoration","LEGO Creator Expert Roller Coaster"
"Weapon - Silver - Plastic - Entry","LEGO Ideas 21318 Tree House"
"Wheel - Transparent - Fabric - Character","LEGO Minecraft"
"Flag - Bronze - Fabric - Mechanical","LEGO Overwatch"
"Plate - Transparent - Fabric - Structural","LEGO Education"
"Beam - Green - Fabric - Wall","LEGO Ideas 21319 Central Perk"
"Window - Yellow - Plastic - Decoration","Ninjago"
"Tile - Green - Plastic - Basic","LEGO Hidden Side"
"Technic - Silver - Fabric - Decoration","Technic"
"Weapon - Red - Fabric - Building","LEGO Ideas 21319 Central Perk"
"Plant - Bronze - Fabric - Building","Bionicle"
"Tile - Brown - Fabric - Combat","LEGO Friends: The Television Series"
"Vehicle - Gray - Fabric - Barrier","LEGO DC Super Heroes"
"Axle - Brown - Plastic - Roofing","Star Wars"
"Technic - Blue - Fabric - Structural","Classic"
"Fence - Silver - Fabric - Character","LEGO Video Games"
"Animal - Bronze - Fabric - Accessory","LEGO Marvel Super Heroes"
"Technic - Yellow - Plastic - Decorative","LEGO Creator Expert Roller Coaster"
"Beam - Silver - Plastic - Transportation","LEGO Creator Expert"
"Weapon - Brown - Plastic - Building","LEGO DOTS"
"Fence - Blue - Fabric - Utility","LEGO City"
"Plant - Tan - Fabric - Barrier","Speed Champions"
"Vehicle - Blue - Plastic - Structural","LEGO Classic"
"Flag - Orange - Plastic - Functional","LEGO Classic"
"Beam - Black - Fabric - Creature","LEGO Elves"
"Brick - Gold - Fabric - Building","LEGO Super Heroes"
"Flag - White - Plastic - Combat","Classic"
"Door - Gray - Fabric - Wall","Friends"
"Brick - Orange - Fabric - Entry","LEGO Trolls World Tour"
"Wheel - Gray - Plastic - Vehicle","LEGO Architecture"
"Minifigure - Gray - Fabric - Building","LEGO Friends"
"Weapon - Tan - Fabric - Structural","Bionicle"
"Brick - Transparent - Fabric - Decoration","LEGO Ideas 21318 Tree House"
"Door - Tan - Fabric - Roofing","LEGO Star Wars"
"Tile - Silver - Fabric - Entry","LEGO Super Heroes"
"Panel - Blue - Plastic - Vehicle","LEGO City"
"Roof Tile - White - Fabric - Functional","LEGO Disney Princess"
"Axle - Tan - Plastic - Entry","LEGO Super Heroes"
"Fence - Silver - Plastic - Creature","Jurassic World"
"Panel - Gray - Plastic - Vehicle","LEGO Architecture Skyline"
"Brick - Silver - Fabric - Decoration","LEGO Monkie Kid"
"Fence - Orange - Fabric - Landscape","LEGO Overwatch"
"Vehicle - Blue - Plastic - Roofing","LEGO Creator Expert"
"Door - Translucent - Fabric - Barrier","Space"
"Window - Blue - Fabric - Building","LEGO Creator Expert"
"Slope - White - Fabric - Combat","LEGO Elves"
"Axle - Silver - Fabric - Transportation","Ideas"
"Technic - Bronze - Fabric - Wall","LEGO Ideas 21319 Central Perk"
"Plant - Transparent - Fabric - Decoration","LEGO Ideas"
"Minifigure - Gold - Plastic - Landscape","LEGO Ideas"
"Tool - Red - Plastic - Utility","LEGO Pirates"
"Plant - Yellow - Fabric - Structural","Dots"
"Technic - Orange - Plastic - Combat","Creator"
"Door - Orange - Fabric - Barrier","Education"
"Tool - Bronze - Plastic - Barrier","Bionicle"
"Minifigure - Green - Fabric - Basic","LEGO DOTS"
"Minifigure - Red - Plastic - Creature","LEGO Mindstorms"
"Panel - Translucent - Plastic - Character","LEGO Star Wars"
"Axle - Silver - Fabric - Mechanical","LEGO Friends: The Television Series"
"Axle - Bronze - Fabric - Entry","LEGO Elves"
"Slope - White - Plastic - Combat","LEGO Education"
"Panel - Tan - Plastic - Utility","Technic"
"Technic - Silver - Plastic - Basic","Education"
"Fence - Black - Plastic - Decorative","LEGO Ideas"
"Window - Gold - Plastic - Building","LEGO Ninjago"
"Animal - Blue - Plastic - Decoration","LEGO Super Mario"
"Plate - Yellow - Fabric - Barrier","LEGO Disney"
"Beam - Transparent - Fabric - Entry","LEGO Ideas"
"Door - Silver - Fabric - Decorative","LEGO Disney"
"Fence - Orange - Fabric - Barrier","City"
"Tool - Translucent - Fabric - Barrier","LEGO Trolls World Tour"
"Panel - Gold - Plastic - Landscape","Space"
"Technic - Transparent - Fabric - Landscape","LEGO Technic"
"Axle - Yellow - Plastic - Transportation","LEGO Minions"
"Slope - Bronze - Fabric - Transportation","Minecraft"
"Plant - Transparent - Plastic - Decoration","LEGO Pirates"
"Plate - Bronze - Fabric - Transportation","LEGO Ideas"
"Fence - Green - Plastic - Vehicle","LEGO Harry Potter"
"Roof Tile - Tan - Plastic - Decoration","LEGO Architecture Skyline"
"Panel - Green - Fabric - Roofing","LEGO DC Super Heroes"
"Fence - Translucent - Fabric - Transportation","LEGO Architecture Skyline"
"Roof Tile - Orange - Plastic - Mechanical","LEGO Pirates"
"Roof Tile - Tan - Plastic - Character","LEGO Elves"
"Window - Bronze - Plastic - Transportation","LEGO Architecture"
"Tile - Blue - Plastic - Character","LEGO Ninjago"
"Minifigure - Orange - Plastic - Building","LEGO Classic"
"Fence - Black - Fabric - Landscape","LEGO Ninjago"
"Technic - Orange - Plastic - Utility","LEGO Overwatch"
"Plant - Yellow - Fabric - Wall","LEGO Technic"
"Minifigure - Translucent - Plastic - Structural","Pirates"
"Vehicle - Gray - Plastic - Transportation","Classic"
"Wheel - Translucent - Plastic - Utility","Star Wars"
"Animal - Red - Plastic - Entry","LEGO Friends"
"Minifigure - Green - Plastic - Creature","LEGO Creator Expert Roller Coaster"
"Vehicle - Yellow - Fabric - Wall","Marvel Super Heroes"
"Animal - White - Fabric - Utility","Classic"
"Plate - Gold - Fabric - Decoration","LEGO City"
"Weapon - Bronze - Plastic - Vehicle","DC Super Heroes"
"Animal - Gold - Fabric - Vehicle","LEGO DC Super Heroes"
"Technic - Transparent - Plastic - Functional","LEGO Architecture Skyline"
"Fence - Bronze - Plastic - Vehicle","LEGO Disney Princess"
"Plant - Translucent - Plastic - Building","Classic"
"Animal - Black - Plastic - Decorative","LEGO DOTS"
"Weapon - Tan - Fabric - Creature","Classic"
"Wheel - Red - Plastic - Basic","LEGO Creator Expert Roller Coaster"
"Fence - Tan - Fabric - Creature","LEGO Classic"
"Brick - Brown - Plastic - Decorative","Classic"
"Slope - Translucent - Fabric - Structural","City"
"Window - White - Fabric - Decorative","LEGO Space"
"Panel - Transparent - Fabric - Functional","LEGO Ninjago"
"Slope - Bronze - Fabric - Combat","Ninjago"
"Panel - Transparent - Fabric - Mechanical","LEGO Trolls World Tour"
"Wheel - Green - Plastic - Basic","Education"
"Window - Bronze - Plastic - Character","LEGO Disney"
"Window - Blue - Plastic - Transportation","LEGO Creator 3-in-1"
"Slope - White - Plastic - Landscape","LEGO DOTS"
"Tool - Bronze - Fabric - Utility","Jurassic World"
"Window - Red - Plastic - Decoration","Ideas"
"Vehicle - Brown - Fabric - Wall","LEGO Ideas"
"Tile - Green - Plastic - Landscape","LEGO Architecture"
"Plant - Blue - Fabric - Character","LEGO Ideas 21319 Central Perk"
"Wheel - Gold - Plastic - Creature","Architecture"
"Weapon - Gold - Fabric - Landscape","LEGO Star Wars Millennium Falcon"
"Plate - Black - Plastic - Landscape","LEGO Star Wars"
"Axle - Transparent - Fabric - Entry","Ninjago"
"Window - Tan - Plastic - Decoration","LEGO Monkie Kid"
"Vehicle - Orange - Fabric - Building","LEGO Friends"
"Fence - Blue - Fabric - Basic","LEGO Disney Princess"
"Beam - Orange - Fabric - Utility","LEGO Architecture"
"Beam - Red - Plastic - Accessory","Architecture"
"Technic - Silver - Fabric - Transportation","LEGO Star Wars"
"Roof Tile - Black - Plastic - Landscape","Bionicle"
"Tile - Red - Fabric - Character","Ninjago"
"Slope - Bronze - Plastic - Landscape","City"
"Plate - Orange - Plastic - Vehicle","Friends"
"Vehicle - Bronze - Fabric - Decoration","Education"
"Panel - Black - Fabric - Entry","Technic"
"Beam - Green - Fabric - Character","LEGO Education"
"Window - Blue - Fabric - Structural","LEGO Technic Bugatti Chiron"
"Fence - Red - Fabric - Structural","Pirates"
"Panel - Translucent - Fabric - Vehicle","LEGO Video Games"
"Weapon - Gold - Fabric - Basic","LEGO Space"
"Axle - Black - Fabric - Functional","Minecraft"
"Door - Brown - Fabric - Utility","Classic"
"Weapon - Brown - Plastic - Combat","LEGO Marvel Super Heroes"
"Panel - Silver - Plastic - Functional","LEGO Creator 3-in-1"
"Technic - Silver - Fabric - Barrier","LEGO City"
"Tool - Green - Plastic - Decorative","LEGO Minions"
"Beam - Black - Plastic - Functional","Space"
"Door - Gray - Fabric - Basic","LEGO Jurassic World"
"Brick - Silver - Fabric - Accessory","LEGO Star Wars Millennium Falcon"
"Axle - Bronze - Fabric - Basic","LEGO Architecture"
"Door - Translucent - Fabric - Creature","LEGO Classic"
"Minifigure - Transparent - Fabric - Structural","LEGO Harry Potter"
"Window - Gold - Plastic - Transportation","LEGO Pirates"
"Weapon - Tan - Plastic - Creature","Education"
"Fence - Translucent - Plastic - Character","LEGO Monkie Kid"
"Plate - Gold - Fabric - Landscape","LEGO Marvel Super Heroes"
"Plate - Brown - Plastic - Decorative","LEGO Minecraft"
"Animal - Green - Plastic - Entry","LEGO DC Super Heroes"
"Plate - Silver - Fabric - Character","LEGO Classic"
"Plate - Silver - Plastic - Combat","LEGO Pirates"
"Slope - Blue - Plastic - Wall","LEGO Minions"
"Window - Orange - Plastic - Wall","LEGO Harry Potter"
"Axle - Bronze - Fabric - Creature","LEGO Minecraft"
"Plate - White - Plastic - Transportation","Jurassic World"
"Brick - Green - Fabric - Basic","LEGO Jurassic World"
"Axle - White - Plastic - Roofing","Marvel Super Heroes"
"Plate - Transparent - Fabric - Utility","LEGO Elves"
"Vehicle - Silver - Plastic - Barrier","DC Super Heroes"
"Flag - Orange - Fabric - Character","LEGO Disney"
